MUNICIPIO,TOTAL,Carga,Misto,Passageiro,Tra̤̣o,Especial,Competi̤̣o,Cole̤̣o
BALNEARIO PINHAL,3950,532,117,3206,9.0,86,0.0,0.0
BARAO,4189,594,185,3254,25.0,130,0.0,1.0
BARAO DE COTEGIPE,4377,836,148,3114,57.0,222,0.0,0.0
BARAO DO TRIUNFO,3361,435,55,2804,8.0,59,0.0,0.0
BARRA DO GUARITA,973,109,24,791,17.0,32,0.0,0.0
BARRA DO QUARAI,1689,226,47,1317,38.0,61,0.0,0.0
BARRA DO RIBEIRO,6398,890,257,5029,41.0,181,0.0,0.0
BARRA DO RIO AZUL,1019,137,26,807,1.0,48,0.0,0.0
BARRA FUNDA,2100,562,57,1295,64.0,122,0.0,0.0
BARRACAO,3035,495,99,2291,22.0,128,0.0,0.0
BARROS CASSAL,5627,737,146,4540,42.0,159,2.0,1.0
BENJAMIN CONSTANT DO SUL,839,102,9,705,3.0,20,0.0,0.0
BENTO GONCALVES,81510,10826,5172,61926,945.0,2432,34.0,175.0
BOA VISTA DAS MISSOES,1535,353,44,1008,53.0,77,0.0,0.0
BOA VISTA DO BURICA,5555,763,171,4375,72.0,173,0.0,1.0
BOA VISTA DO CADEADO,1395,354,28,864,17.0,132,0.0,0.0
BOA VISTA DO INCRA,1407,260,25,1008,17.0,97,0.0,0.0
BOA VISTA DO SUL,2204,608,57,1390,59.0,88,2.0,0.0
BOM JESUS,5249,930,235,3757,30.0,285,1.0,11.0
BOM PRINCIPIO,10010,1609,574,7385,107.0,333,0.0,2.0
BOM PROGRESSO,1332,132,34,1122,4.0,40,0.0,0.0
BOM RETIRO DO SUL,8041,900,221,6676,61.0,183,0.0,0.0
BOQUEIRAO DO LEAO,4443,543,101,3648,14.0,135,2.0,0.0
BOSSOROCA,3005,648,69,2085,27.0,176,0.0,0.0
BOZANO,1475,380,48,928,18.0,101,0.0,0.0
BRAGA,2001,250,45,1636,18.0,51,1.0,0.0
BROCHIER,4049,656,79,3206,31.0,72,0.0,5.0
BUTIA,10589,1416,398,8287,236.0,251,0.0,1.0
CACAPAVA DO SUL,20068,3275,694,15141,233.0,718,0.0,7.0
CACEQUI,4959,765,149,3824,21.0,200,0.0,0.0
CACHOEIRA DO SUL,50318,6545,1763,40148,354.0,1484,0.0,24.0
CACHOEIRINHA,77083,8684,3569,62971,554.0,1291,1.0,13.0
CACIQUE DOBLE,2515,455,45,1854,29.0,132,0.0,0.0
CAIBATE,3362,599,65,2415,122.0,160,0.0,1.0
CAICARA,3230,360,73,2666,32.0,99,0.0,0.0
CAMAQUA,41309,5300,1152,33160,611.0,1079,0.0,7.0
CAMARGO,2225,555,61,1458,34.0,117,0.0,0.0
CAMBARA DO SUL,3030,628,124,2086,33.0,158,1.0,0.0
CAMPESTRE DA SERRA,2021,566,61,1187,86.0,121,0.0,0.0
CAMPINA DAS MISSOES,4230,525,155,3331,43.0,176,0.0,0.0
CAMPINAS DO SUL,3892,742,132,2787,59.0,171,0.0,1.0
CAMPO BOM,42552,3983,1933,35675,244.0,682,3.0,32.0
CAMPO NOVO,3401,581,92,2550,63.0,115,0.0,0.0
CAMPOS BORGES,2547,523,64,1829,28.0,103,0.0,0.0
CANDELARIA,17299,1988,578,14100,75.0,558,0.0,0.0
CANDIDO GODOI,5015,769,199,3806,21.0,220,0.0,0.0
CANDIOTA,5910,927,176,4483,54.0,267,1.0,2.0
CANELA,28417,3116,1813,22429,95.0,924,1.0,39.0
CANGUCU,37804,4222,650,31509,323.0,1097,0.0,3.0
CANOAS,198713,21971,9854,160779,2874.0,3186,2.0,47.0
CANUDOS DO VALE,920,108,31,724,13.0,43,1.0,0.0
CAPAO BONITO DO SUL,782,181,18,517,7.0,59,0.0,0.0
CAPAO DA CANOA,31500,3834,1553,25300,68.0,742,0.0,3.0
CAPAO DO CIPO,1762,352,31,1220,23.0,136,0.0,0.0
CAPAO DO LEAO,13437,1762,318,10796,202.0,358,0.0,1.0
CAPELA DE SANTANA,4518,729,121,3518,48.0,102,0.0,0.0
CAPITAO,1908,235,47,1568,5.0,53,0.0,0.0
CAPIVARI DO SUL,2695,641,110,1741,53.0,150,0.0,0.0
CARAA,3196,412,85,2580,8.0,110,0.0,1.0
CARAZINHO,42274,5955,1978,32212,604.0,1476,11.0,38.0
CARLOS BARBOSA,20020,2936,1238,14950,228.0,614,10.0,44.0
CARLOS GOMES,811,110,21,643,5.0,32,0.0,0.0
CASCA,7428,1519,401,4932,221.0,349,0.0,6.0
CASEIROS,2143,479,56,1455,23.0,130,0.0,0.0
CATUIPE,6406,1170,190,4676,88.0,282,0.0,0.0
CAXIAS DO SUL,311362,37589,19449,241750,2794.0,9363,47.0,370.0
CENTENARIO,1812,338,40,1323,17.0,94,0.0,0.0
CERRITO,3495,602,67,2669,63.0,94,0.0,0.0
CERRO BRANCO,2362,304,46,1923,28.0,61,0.0,0.0
CERRO GRANDE,1482,164,37,1221,17.0,43,0.0,0.0
CERRO GRANDE DO SUL,7180,892,83,6042,44.0,119,0.0,0.0
CERRO LARGO,9908,1571,380,7336,316.0,302,1.0,2.0
CHAPADA,8038,1303,297,5850,176.0,409,1.0,2.0
CHARQUEADAS,17932,1923,708,14739,147.0,405,1.0,9.0
CHARRUA,1436,252,50,1038,6.0,89,0.0,1.0
CHIAPETTA,2546,466,87,1815,49.0,129,0.0,0.0
CHUI,5808,702,335,4411,166.0,194,0.0,0.0
CHUVISCA,2919,380,34,2375,39.0,91,0.0,0.0
CIDREIRA,5081,633,158,4149,9.0,132,0.0,0.0
CIRIACO,3419,492,126,2646,23.0,132,0.0,0.0
COLINAS,1911,272,79,1460,37.0,63,0.0,0.0
COLORADO,2883,753,98,1843,22.0,167,0.0,0.0
CONDOR,4616,809,190,3277,51.0,289,0.0,0.0
CONSTANTINA,7320,1126,278,5565,57.0,293,0.0,1.0
COQUEIRO BAIXO,807,102,28,631,12.0,34,0.0,0.0
COQUEIROS DO SUL,1679,347,38,1192,13.0,89,0.0,0.0
CORONEL BARROS,1824,386,74,1242,22.0,100,0.0,0.0
CORONEL BICACO,4183,676,93,3201,42.0,171,0.0,0.0
CORONEL PILAR,1050,357,36,592,11.0,54,0.0,0.0
COTIPORA,2744,648,98,1829,8.0,155,3.0,3.0
COXILHA,2146,462,75,1361,86.0,162,0.0,0.0
CRISSIUMAL,9706,999,337,8035,49.0,285,0.0,1.0
CRISTAL,4440,711,107,3333,130.0,159,0.0,0.0
CRISTAL DO SUL,1502,155,25,1257,11.0,54,0.0,0.0
CRUZ ALTA,38138,5114,1512,29489,438.0,1577,1.0,7.0
CRUZALTENSE,1344,220,37,1021,9.0,57,0.0,0.0
CRUZEIRO DO SUL,9726,1564,382,7349,164.0,267,0.0,0.0
DAVID CANABARRO,3423,541,97,2580,38.0,165,0.0,2.0
DERRUBADAS,1566,236,34,1234,4.0,58,0.0,0.0
DEZESSEIS DE NOVEMBRO,1447,217,34,1130,19.0,47,0.0,0.0
DILERMANDO DE AGUIAR,1150,187,27,860,18.0,58,0.0,0.0
DOIS IRMAOS,19245,1989,1257,15415,89.0,464,0.0,31.0
DOIS IRMAOS DAS MISSOES,1200,214,35,855,12.0,84,0.0,0.0
DOIS LAJEADOS,2232,405,85,1649,19.0,74,0.0,0.0
DOM FELICIANO,7688,867,137,6514,19.0,151,0.0,0.0
DOM PEDRITO,23739,3388,869,17855,256.0,1369,0.0,2.0
DOM PEDRO DE ALCANTARA,1522,289,30,1168,4.0,31,0.0,0.0
DONA FRANCISCA,1720,232,38,1391,9.0,50,0.0,0.0
DOUTOR MAURICIO CARDOSO,3440,559,142,2584,23.0,132,0.0,0.0
DOUTOR RICARDO,1356,229,27,1040,19.0,40,0.0,1.0
ELDORADO DO SUL,19033,2855,766,14564,402.0,446,0.0,0.0
ENCANTADO,16755,2432,767,12810,210.0,522,2.0,12.0
ENCRUZILHADA DO SUL,13709,1962,367,10789,127.0,464,0.0,0.0
ENGENHO VELHO,699,105,26,526,4.0,38,0.0,0.0
ENTRE RIOS DO SUL,1475,236,61,1114,5.0,59,0.0,0.0
ENTRE-IJUIS,6979,1355,201,4952,180.0,291,0.0,0.0
EREBANGO,1792,320,42,1321,17.0,92,0.0,0.0
ERECHIM,75819,9369,4096,58850,858.0,2585,13.0,48.0
ERNESTINA,2577,577,105,1709,45.0,138,3.0,0.0
ERVAL GRANDE,2492,444,68,1814,31.0,135,0.0,0.0
ERVAL SECO,4005,496,121,3245,9.0,134,0.0,0.0
ESMERALDA,1772,352,69,1247,7.0,97,0.0,0.0
ESPERANCA DO SUL,1541,150,38,1313,2.0,38,0.0,0.0
ESPUMOSO,12322,2439,485,8584,189.0,619,0.0,6.0
ESTACAO,4381,760,175,3163,80.0,202,1.0,0.0
ESTANCIA VELHA,30281,3464,1364,24676,199.0,563,0.0,15.0
ESTEIO,44221,5322,2075,35650,439.0,719,1.0,15.0
ESTRELA,24921,4292,1167,18205,614.0,638,0.0,5.0
ESTRELA VELHA,2106,434,52,1484,36.0,100,0.0,0.0
EUGENIO DE CASTRO,1839,378,38,1294,27.0,102,0.0,0.0
FAGUNDES VARELA,1868,369,71,1306,16.0,105,1.0,0.0
FARROUPILHA,47800,6840,3182,35703,574.0,1399,58.0,44.0
FAXINAL DO SOTURNO,4129,659,108,3111,41.0,210,0.0,0.0
FAXINALZINHO,1153,194,30,842,22.0,65,0.0,0.0
FAZENDA VILANOVA,2769,405,55,2185,26.0,98,0.0,0.0
FELIZ,10330,1602,538,7762,124.0,301,0.0,3.0
FLORES DA CUNHA,24014,4781,1440,15973,780.0,973,26.0,41.0
FLORIANO PEIXOTO,1259,192,25,978,5.0,58,0.0,1.0
FONTOURA XAVIER,5593,811,158,4358,113.0,153,0.0,0.0
FORMIGUEIRO,3575,588,78,2723,39.0,146,0.0,1.0
FORQUETINHA,1569,211,41,1223,24.0,67,0.0,3.0
FORTALEZA DOS VALOS,3303,786,103,2133,30.0,251,0.0,0.0
FREDERICO WESTPHALEN,22262,3103,1054,17161,229.0,710,0.0,5.0
GARIBALDI,26145,4881,1517,17949,796.0,897,20.0,85.0
GARRUCHOS,1116,171,11,881,3.0,50,0.0,0.0
GAURAMA,4259,739,148,3172,22.0,177,1.0,0.0
GENERAL CAMARA,3907,507,117,3151,21.0,110,0.0,1.0
GENTIL,1188,236,42,809,11.0,90,0.0,0.0
GETULIO VARGAS,12263,1858,568,9027,339.0,466,3.0,2.0
GIRUA,10642,2006,319,7636,246.0,433,0.0,2.0
GLORINHA,4945,851,165,3675,64.0,190,0.0,0.0
GRAMADO,28737,3299,2335,21872,109.0,1090,8.0,24.0
GRAMADO DOS LOUREIROS,933,137,25,721,5.0,45,0.0,0.0
GRAMADO XAVIER,1998,248,48,1631,4.0,67,0.0,0.0
GRAVATAI,156665,16050,6853,129935,889.0,2905,4.0,29.0
GUABIJU,977,187,33,683,8.0,66,0.0,0.0
GUAIBA,52275,5633,2194,42725,596.0,1118,2.0,7.0
GUAPORE,16780,2061,973,12958,126.0,637,1.0,24.0
GUARANI DAS MISSOES,5283,951,162,3817,150.0,203,0.0,0.0
HARMONIA,3718,638,106,2841,35.0,98,0.0,0.0
HERVAL,3662,605,119,2800,21.0,117,0.0,0.0
HERVEIRAS,1282,160,29,1052,0.0,41,0.0,0.0
HORIZONTINA,15336,2192,759,11418,499.0,463,0.0,5.0
HULHA NEGRA,2577,327,41,2100,10.0,99,0.0,0.0
HUMAITA,3295,448,154,2551,16.0,126,0.0,0.0
IBARAMA,2502,379,49,1986,22.0,66,0.0,0.0
IBIACA,3485,782,135,2257,27.0,284,0.0,0.0
IBIRAIARAS,5498,1309,222,3466,97.0,402,1.0,1.0
IBIRAPUITA,2499,385,51,1959,17.0,87,0.0,0.0
IBIRUBA,16213,3176,853,11052,219.0,908,0.0,5.0
IGREJINHA,22653,2421,1054,18589,93.0,489,1.0,6.0
IJUI,57314,7666,2893,43620,1033.0,2093,0.0,9.0
ILOPOLIS,2983,730,121,1997,23.0,112,0.0,0.0
IMBE,12649,1590,548,10139,43.0,327,1.0,1.0
IMIGRANTE,2090,291,104,1610,16.0,67,0.0,2.0
INDEPENDENCIA,4399,755,149,3273,41.0,181,0.0,0.0
INHACORA,1149,169,15,894,13.0,58,0.0,0.0
IPE,4173,989,193,2696,47.0,245,2.0,1.0
IPIRANGA DO SUL,1643,391,65,1081,18.0,88,0.0,0.0
IRAI,4337,564,122,3466,62.0,123,0.0,0.0
ITAARA,2877,436,113,2157,41.0,129,0.0,1.0
ITACURUBI,1374,196,20,1108,4.0,46,0.0,0.0
ITAPUCA,1130,195,26,871,2.0,36,0.0,0.0
ITAQUI,18397,2834,539,13842,535.0,641,0.0,6.0
ITATI,1440,262,54,1049,12.0,63,0.0,0.0
ITATIBA DO SUL,1779,262,36,1402,10.0,69,0.0,0.0
IVORA,1121,229,36,772,3.0,81,0.0,0.0
IVOTI,15587,1960,975,12153,87.0,401,2.0,9.0
JABOTICABA,2275,294,46,1820,22.0,93,0.0,0.0
JACUIZINHO,1232,239,13,912,8.0,60,0.0,0.0
JACUTINGA,2577,442,70,1899,20.0,145,1.0,0.0
JAGUARAO,18614,2307,716,14715,298.0,572,1.0,5.0
JAGUARI,6803,1217,213,4994,27.0,351,0.0,1.0
JAQUIRANA,1918,413,71,1340,8.0,86,0.0,0.0
JARI,1833,286,42,1414,6.0,85,0.0,0.0
JOIA,5105,981,130,3643,94.0,257,0.0,0.0
JULIO DE CASTILHOS,11784,2573,427,7642,341.0,798,0.0,3.0
LAGOA BONITA DO SUL,1390,193,18,1129,4.0,46,0.0,0.0
LAGOA DOS TRES CANTOS,1292,330,59,835,11.0,57,0.0,0.0
LAGOA VERMELHA,18108,2795,828,13423,106.0,943,1.0,12.0
LAGOAO,2702,319,80,2214,4.0,85,0.0,0.0
LAJEADO,66270,9230,4079,50093,1078.0,1759,8.0,23.0
LAJEADO DO BUGRE,1111,92,12,960,11.0,36,0.0,0.0
LAVRAS DO SUL,3551,551,145,2658,12.0,184,0.0,1.0
LIBERATO SALZANO,2882,396,59,2301,35.0,91,0.0,0.0
LINDOLFO COLLOR,3405,379,141,2790,16.0,79,0.0,0.0
LINHA NOVA,1177,207,49,887,7.0,27,0.0,0.0
MACAMBARA,1222,190,27,891,33.0,81,0.0,0.0
MACHADINHO,3246,485,95,2482,31.0,153,0.0,0.0
MAMPITUBA,752,98,15,620,1.0,18,0.0,0.0
MANOEL VIANA,3662,732,105,2556,71.0,198,0.0,0.0
MAQUINE,4109,758,142,3083,29.0,97,0.0,0.0
MARATA,1907,303,52,1482,15.0,54,0.0,1.0
MARAU,30278,4544,1586,22224,564.0,1334,2.0,24.0
MARCELINO RAMOS,2725,427,90,2073,47.0,87,1.0,0.0
MARIANA PIMENTEL,2548,366,59,2045,4.0,74,0.0,0.0
MARIANO MORO,1378,277,30,985,35.0,51,0.0,0.0
MARQUES DE SOUZA,2614,404,108,1959,40.0,102,0.0,1.0
MATA,2708,484,64,2034,31.0,95,0.0,0.0
MATO CASTELHANO,1703,391,61,1132,17.0,102,0.0,0.0
MATO LEITAO,3452,582,108,2556,115.0,91,0.0,0.0
MATO QUEIMADO,1293,234,18,915,42.0,84,0.0,0.0
MAXIMILIANO DE ALMEIDA,3324,583,100,2433,87.0,121,0.0,0.0
MINAS DO LEAO,3774,496,95,3037,51.0,95,0.0,0.0
MIRAGUAI,3123,354,70,2571,45.0,83,0.0,0.0
MONTAURI,1158,261,40,740,37.0,79,0.0,1.0
MONTE ALEGRE DOS CAMPOS,1356,272,41,964,5.0,74,0.0,0.0
MONTE BELO DO SUL,1985,519,60,1313,17.0,73,2.0,1.0
MONTENEGRO,44245,5559,1775,35413,424.0,1047,0.0,27.0
MORMACO,1570,252,47,1175,8.0,88,0.0,0.0
MORRINHOS DO SUL,2119,370,34,1654,26.0,35,0.0,0.0
MORRO REDONDO,5373,795,104,4237,52.0,185,0.0,0.0
MORRO REUTER,4216,674,239,3130,23.0,143,0.0,7.0
MOSTARDAS,6129,1114,251,4414,75.0,274,1.0,0.0
MUCUM,3397,438,156,2672,34.0,96,0.0,1.0
MUITOS CAPOES,1412,357,55,850,29.0,121,0.0,0.0
MULITERNO,1148,239,31,784,16.0,76,0.0,2.0
NAO-ME-TOQUE,13335,2143,734,9658,203.0,595,1.0,1.0
NICOLAU VERGUEIRO,1280,247,43,908,7.0,75,0.0,0.0
NONOAI,6359,991,203,4864,66.0,234,0.0,1.0
NOVA ALVORADA,2320,454,70,1659,16.0,120,0.0,1.0
NOVA ARACA,3168,515,150,2305,53.0,139,2.0,4.0
NOVA BASSANO,7381,1425,378,5049,161.0,358,4.0,6.0
NOVA BOA VISTA,1613,238,45,1265,9.0,56,0.0,0.0
NOVA BRESCIA,2266,379,101,1679,22.0,84,1.0,0.0
NOVA CANDELARIA,2318,254,72,1906,15.0,70,0.0,1.0
NOVA ESPERANCA DO SUL,2933,464,65,2259,13.0,132,0.0,0.0
NOVA HARTZ,11025,1028,453,9302,48.0,190,0.0,4.0
NOVA PADUA,1920,548,83,1154,10.0,124,1.0,0.0
NOVA PALMA,4268,1029,149,2725,101.0,264,0.0,0.0
NOVA PETROPOLIS,15869,2131,1150,12010,153.0,400,0.0,25.0
NOVA PRATA,18711,2827,1030,13836,260.0,723,11.0,24.0
NOVA RAMADA,1630,331,52,1134,12.0,101,0.0,0.0
NOVA ROMA DO SUL,2216,609,69,1388,16.0,128,6.0,0.0
NOVA SANTA RITA,17741,3514,653,12348,774.0,448,1.0,3.0
NOVO BARREIRO,2585,440,67,1936,59.0,83,0.0,0.0
NOVO CABRAIS,2108,371,44,1594,21.0,78,0.0,0.0
NOVO HAMBURGO,163310,15646,9585,134221,868.0,2779,16.0,195.0
NOVO MACHADO,2437,369,111,1867,9.0,81,0.0,0.0
NOVO TIRADENTES,1113,130,32,907,7.0,36,0.0,1.0
NOVO XINGU,870,131,13,693,2.0,31,0.0,0.0
OSORIO,31915,4220,1333,25174,231.0,923,1.0,33.0
PAIM FILHO,2441,452,65,1790,22.0,111,0.0,1.0
PALMARES DO SUL,6157,1013,210,4670,34.0,230,0.0,0.0
PALMEIRA DAS MISSOES,23061,3569,822,17335,418.0,915,0.0,2.0
PALMITINHO,5312,687,177,4223,57.0,168,0.0,0.0
PANAMBI,30532,4040,1337,23721,245.0,1176,0.0,13.0
PANTANO GRANDE,5304,1061,185,3720,153.0,184,1.0,0.0
PARAI,5660,1402,300,3512,129.0,316,0.0,1.0
PARAISO DO SUL,3734,521,79,2982,20.0,130,0.0,2.0
PARECI NOVO,3512,867,116,2361,59.0,103,0.0,6.0
PAROBE,30936,2766,1029,26434,105.0,596,0.0,6.0
PASSA SETE,2668,368,44,2143,7.0,106,0.0,0.0
PASSO DO SOBRADO,4003,547,108,3183,26.0,139,0.0,0.0
PASSO FUNDO,128432,14685,7741,100662,1240.0,3975,16.0,113.0
PAULO BENTO,1336,257,28,981,10.0,60,0.0,0.0
PAVERAMA,5133,649,103,4238,53.0,89,0.0,1.0
PEDRAS ALTAS,1019,157,56,755,2.0,49,0.0,0.0
PEDRO OSORIO,4479,649,120,3556,42.0,111,0.0,1.0
PEJUCARA,2718,634,86,1788,28.0,182,0.0,0.0
PELOTAS,210647,23483,8703,169663,2849.0,5867,3.0,79.0
PICADA CAFE,3619,446,171,2880,18.0,103,0.0,1.0
PINHAL,1595,275,42,1193,18.0,67,0.0,0.0
PINHAL DA SERRA,1089,200,33,795,1.0,60,0.0,0.0
PINHAL GRANDE,2238,484,66,1566,12.0,110,0.0,0.0
PINHEIRINHO DO VALE,2117,207,50,1782,16.0,62,0.0,0.0
PINHEIRO MACHADO,7022,1106,161,5435,60.0,258,0.0,2.0
PINTO BANDEIRA,1245,290,66,757,11.0,112,2.0,7.0
PIRAPO,1336,182,21,1071,8.0,54,0.0,0.0
PIRATINI,9859,1219,217,8007,61.0,355,0.0,0.0
PLANALTO,5716,862,143,4479,55.0,177,0.0,0.0
POCO DAS ANTAS,1588,275,49,1188,9.0,67,0.0,0.0
PONTAO,2123,388,66,1545,9.0,115,0.0,0.0
PONTE PRETA,1236,220,35,906,13.0,62,0.0,0.0
PORTAO,25843,4449,1060,19358,334.0,632,2.0,8.0
PORTO ALEGRE,843056,72653,70783,679960,3400.0,15602,30.0,628.0
PORTO LUCENA,2860,382,96,2266,29.0,87,0.0,0.0
PORTO MAUA,1433,247,41,1077,15.0,53,0.0,0.0
PORTO VERA CRUZ,860,126,32,659,8.0,35,0.0,0.0
PORTO XAVIER,6592,1193,192,4510,458.0,239,0.0,0.0
POUSO NOVO,1117,204,33,788,47.0,45,0.0,0.0
PRESIDENTE LUCENA,2080,396,101,1511,14.0,58,0.0,0.0
PROGRESSO,3371,411,106,2690,16.0,148,0.0,0.0
PROTASIO ALVES,1279,218,29,948,9.0,73,2.0,0.0
PUTINGA,2651,369,65,2114,11.0,92,0.0,0.0
QUARAI,19720,2131,663,16245,87.0,593,1.0,0.0
QUATRO IRMAOS,832,149,31,612,7.0,33,0.0,0.0
QUEVEDOS,1462,231,30,1114,3.0,84,0.0,0.0
QUINZE DE NOVEMBRO,2821,567,91,1984,31.0,147,0.0,1.0
REDENTORA,2821,380,55,2283,15.0,88,0.0,0.0
RELVADO,1349,199,40,1054,5.0,51,0.0,0.0
RESTINGA SECA,8352,1425,199,6333,84.0,310,0.0,1.0
RIO DOS INDIOS,1383,235,16,1069,4.0,59,0.0,0.0
RIO GRANDE,121093,11357,4263,100866,1632.0,2926,1.0,48.0
RIO PARDO,18089,2065,607,14790,127.0,494,2.0,4.0
RIOZINHO,2422,241,113,1995,1.0,72,0.0,0.0
ROCA SALES,6212,641,200,5164,60.0,147,0.0,0.0
RODEIO BONITO,4703,720,173,3567,74.0,166,0.0,3.0
ROLADOR,1306,216,18,980,19.0,73,0.0,0.0
ROLANTE,12804,1366,481,10635,25.0,295,1.0,1.0
RONDA ALTA,5829,1110,287,4021,97.0,314,0.0,0.0
RONDINHA,3141,495,117,2358,28.0,143,0.0,0.0
ROQUE GONZALES,4044,668,83,3026,114.0,153,0.0,0.0
ROSARIO DO SUL,20018,2826,592,15609,140.0,851,0.0,0.0
SAGRADA FAMILIA,1335,161,27,1100,14.0,33,0.0,0.0
SALDANHA MARINHO,2023,493,82,1274,41.0,133,0.0,0.0
SALTO DO JACUI,5920,892,224,4491,66.0,246,0.0,1.0
SALVADOR DAS MISSOES,2209,413,81,1557,46.0,112,0.0,0.0
SALVADOR DO SUL,5202,743,217,4013,44.0,184,0.0,1.0
SANANDUVA,12896,2301,592,9153,165.0,678,0.0,7.0
SANTA BARBARA DO SUL,5882,1302,229,3783,191.0,377,0.0,0.0
SANTA CECILIA DO SUL,1018,191,24,739,5.0,59,0.0,0.0
SANTA CLARA DO SUL,4547,489,218,3714,19.0,107,0.0,0.0
SANTA CRUZ DO SUL,91471,10081,4904,73480,610.0,2349,12.0,35.0
SANTA MARGARIDA DO SUL,951,192,14,657,18.0,70,0.0,0.0
SANTA MARIA,160194,18137,8358,126527,1016.0,6016,4.0,136.0
SANTA MARIA DO HERVAL,4446,644,218,3439,30.0,115,0.0,0.0
SANTA ROSA,54493,6901,2731,42520,540.0,1795,1.0,5.0
SANTA TEREZA,947,200,32,677,1.0,36,0.0,1.0
SANTA VITORIA DO PALMAR,22062,3108,767,17188,291.0,706,1.0,1.0
SANTANA DA BOA VISTA,4801,572,79,4006,3.0,141,0.0,0.0
SANTANA DO LIVRAMENTO,64948,6105,2261,53827,393.0,2358,1.0,3.0
SANTIAGO,31365,4727,1109,23520,232.0,1775,0.0,2.0
SANTO ANGELO,49798,5657,2105,39889,336.0,1804,0.0,7.0
SANTO ANTONIO DA PATRULHA,27106,3717,840,21576,242.0,717,1.0,13.0
SANTO ANTONIO DAS MISSOES,5609,922,106,4333,35.0,213,0.0,0.0
SANTO ANTONIO DO PALMA,1297,186,40,1004,1.0,66,0.0,0.0
SANTO ANTONIO DO PLANALTO,1554,314,40,1140,5.0,55,0.0,0.0
SANTO AUGUSTO,9387,1757,355,6743,128.0,404,0.0,0.0
SANTO CRISTO,11386,1685,513,8679,98.0,409,0.0,2.0
SANTO EXPEDITO DO SUL,1777,306,33,1334,9.0,95,0.0,0.0
SAO BORJA,34568,4902,1080,26583,546.0,1455,1.0,1.0
SAO DOMINGOS DO SUL,2082,389,72,1495,23.0,103,0.0,0.0
SAO FRANCISCO DE ASSIS,9529,1566,277,7080,92.0,513,0.0,1.0
SAO FRANCISCO DE PAULA,11327,1814,554,8315,65.0,528,2.0,49.0
SAO GABRIEL,30867,4021,1027,24155,230.0,1427,0.0,7.0
SAO JERONIMO,10094,1157,407,8233,41.0,255,0.0,1.0
SAO JOAO DA URTIGA,3277,519,80,2480,40.0,158,0.0,0.0
SAO JOAO DO POLESINE,1691,361,60,1139,31.0,100,0.0,0.0
SAO JORGE,1969,451,87,1277,19.0,135,0.0,0.0
SAO JOSE DAS MISSOES,1226,139,28,1016,3.0,40,0.0,0.0
SAO JOSE DO HERVAL,1254,274,21,843,63.0,51,0.0,2.0
SAO JOSE DO HORTENCIO,3123,557,117,2354,31.0,63,0.0,1.0
SAO JOSE DO INHACORA,1583,190,69,1283,4.0,37,0.0,0.0
SAO JOSE DO NORTE,10985,1421,394,8738,53.0,379,0.0,0.0
SAO JOSE DO OURO,5700,1366,186,3646,186.0,316,0.0,0.0
SAO JOSE DO SUL,1725,350,47,1258,22.0,48,0.0,0.0
SAO JOSE DOS AUSENTES,1418,317,67,911,11.0,112,0.0,0.0
