UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO_TRATOR,CAMINHONETE,CAMIONETA,CHASSI_PLATAFORMA,CICLOMOTOR,MICRO_ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI_REBOQUE,SIDE_CAR,OUTROS,TRATOR_ESTEIRA,TRATOR_RODAS,TRICICLO,UTILITARIO
RS,CARLOS BARBOSA,25585,14607,0,995,282,2556,1423,0,30,70,2797,1023,172,0,628,300,0,36,0,47,3,616
RS,CARLOS GOMES,1030,588,0,71,4,129,30,0,0,16,167,4,9,0,3,4,0,0,0,1,0,4
RS,CASCA,9487,5246,0,611,261,1318,434,0,2,26,725,73,36,0,181,321,1,24,0,14,1,213
RS,CASEIROS,2787,1575,0,226,33,461,73,0,1,11,268,8,17,0,56,35,0,5,0,2,0,16
RS,CATUIPE,7876,4012,0,554,106,1091,217,0,3,18,1379,149,47,0,134,98,1,1,0,1,1,64
RS,CAXIAS DO SUL,374358,234173,0,9417,2886,29454,21157,0,398,1494,41498,7768,1841,5,10264,4287,5,460,1,296,55,8899
RS,CENTENARIO,2319,1284,0,157,21,384,80,0,1,12,302,8,13,0,17,19,0,0,0,1,0,20
RS,CERRITO,4288,2058,0,204,67,346,107,0,3,19,1077,75,21,0,159,107,0,13,1,8,0,23
RS,CERRO BRANCO,3021,1628,0,81,24,297,76,0,2,11,701,52,44,0,62,24,0,2,0,4,1,12
RS,CERRO GRANDE,1929,1046,0,63,18,186,37,0,1,3,468,44,13,0,12,24,0,1,0,0,0,13
RS,CERRO GRANDE DO SUL,9181,4200,0,383,62,762,124,1,5,22,3213,136,32,0,127,75,0,2,0,5,0,32
RS,CERRO LARGO,12455,6516,0,465,366,1247,496,0,10,13,2077,323,54,0,370,309,1,11,0,10,0,187
RS,CHAPADA,9660,4964,0,587,184,1266,366,0,1,72,1452,161,44,0,145,305,0,8,0,0,0,105
RS,CHARQUEADAS,22342,13947,0,505,139,1224,902,1,17,92,3216,496,267,0,1082,184,2,30,0,55,4,179
RS,CHARRUA,1723,934,0,137,3,265,60,1,0,8,250,17,13,0,18,6,0,1,0,0,0,10
RS,CHIAPETTA,3327,1869,0,210,52,479,115,0,2,19,355,44,16,0,49,84,0,2,0,3,0,28
RS,CHUI,8493,5563,0,138,197,637,419,0,5,25,588,143,11,0,301,213,1,17,0,1,0,234
RS,CHUVISCA,3990,2027,0,197,51,428,79,0,2,6,955,54,37,0,60,66,0,6,0,3,0,19
RS,CIDREIRA,7782,4921,0,122,5,487,328,0,14,22,1209,150,40,0,374,4,0,23,0,4,4,75
RS,CIRIACO,4345,2622,0,205,32,530,136,0,0,16,562,68,28,0,59,37,0,10,0,2,0,38
RS,COLINAS,2300,1247,0,80,20,188,94,0,3,10,382,77,13,0,93,40,0,6,0,16,0,31
RS,COLORADO,3299,1595,0,311,38,670,112,0,1,19,364,42,11,0,58,46,0,5,0,0,2,25
RS,CONDOR,6102,3219,0,387,80,928,267,0,0,35,737,70,49,0,119,112,0,1,0,8,0,90
RS,CONSTANTINA,9018,5193,0,559,59,1071,297,0,2,21,1058,217,88,0,190,83,0,11,0,8,1,160
RS,COQUEIRO BAIXO,946,533,0,33,0,123,25,0,2,6,160,23,2,0,12,0,0,1,0,14,0,12
RS,COQUEIROS DO SUL,2034,993,0,163,13,333,46,0,0,14,400,15,10,0,23,12,0,4,0,1,0,7
RS,CORONEL BARROS,2288,1166,0,193,27,367,78,0,0,1,300,23,8,0,64,34,0,2,0,1,0,24
RS,CORONEL BICACO,5557,3122,0,340,50,660,140,0,1,19,805,134,43,0,113,74,0,4,0,2,1,49
RS,CORONEL PILAR,1272,594,0,231,11,228,37,0,0,6,93,11,8,0,23,8,0,2,0,2,0,18
RS,COTIPORA,3491,1795,0,352,15,586,128,0,2,11,349,71,23,0,61,10,0,5,0,5,0,78
RS,COXILHA,2684,1429,0,173,81,440,102,0,2,5,219,16,14,0,66,95,0,11,0,4,0,27
RS,CRISSIUMAL,12248,5652,0,501,64,1113,471,0,28,26,3601,297,65,0,193,64,0,17,1,8,2,145
RS,CRISTAL,5695,3059,0,264,141,510,158,0,3,12,977,87,77,0,168,169,1,9,0,17,4,39
RS,CRISTAL DO SUL,2144,1092,0,81,17,197,46,0,0,16,586,38,20,0,24,14,0,0,0,0,0,13
RS,CRUZ ALTA,46475,26187,0,1460,477,4720,1885,0,57,147,7637,1165,190,0,1123,731,3,65,0,21,19,588
RS,CRUZALTENSE,1610,778,0,102,9,262,39,0,0,9,333,15,10,0,27,11,0,3,0,0,0,12
RS,CRUZEIRO DO SUL,11961,5991,0,717,216,949,450,0,12,15,2018,583,41,0,537,223,1,33,0,37,3,135
RS,DAVID CANABARRO,4355,2376,0,227,48,630,129,0,3,11,692,46,24,0,49,56,0,6,0,1,0,57
RS,DERRUBADAS,2106,942,0,178,4,246,60,0,0,7,601,21,14,0,13,6,0,2,0,1,0,11
RS,DEZESSEIS DE NOVEMBRO,1987,973,0,83,19,282,41,0,0,8,475,37,10,0,35,19,0,0,0,0,0,5
RS,DILERMANDO DE AGUIAR,1519,754,0,66,13,201,51,0,0,2,301,16,30,0,52,15,0,0,0,11,0,7
RS,DOIS IRMAOS,23093,14367,0,541,113,1616,1382,0,26,36,2639,575,152,0,828,128,1,35,0,38,3,613
RS,DOIS IRMAOS DAS MISSOES,1547,777,0,117,27,231,50,0,0,7,234,16,7,0,28,42,0,0,0,0,0,11
RS,DOIS LAJEADOS,2855,1691,0,185,37,343,93,0,0,9,288,40,19,0,70,30,1,2,0,1,1,45
RS,DOM FELICIANO,10253,5455,0,354,33,985,230,0,2,31,2676,134,125,1,129,30,1,6,0,4,1,56
RS,DOM PEDRITO,29461,13928,1,818,332,3897,1153,1,236,57,5809,1405,77,0,847,468,6,27,0,12,13,374
RS,DOM PEDRO DE ALCANTARA,1756,779,0,130,4,162,44,0,2,6,475,78,9,0,51,5,0,3,0,1,0,7
RS,DONA FRANCISCA,2165,1166,0,48,22,261,59,0,0,3,490,27,10,0,42,24,0,1,0,2,0,10
RS,DOUTOR MAURICIO CARDOSO,4092,2119,0,273,20,507,155,0,2,20,742,61,18,0,99,25,0,6,0,2,0,43
RS,DOUTOR RICARDO,1699,992,0,100,11,215,38,0,0,8,234,28,10,0,20,20,0,0,0,8,1,14
RS,ELDORADO DO SUL,25530,14663,0,835,686,1516,1093,0,36,64,4060,347,110,0,902,834,0,27,0,46,4,307
RS,ENCANTADO,21279,11461,0,801,253,2011,950,0,19,81,3030,1176,141,0,553,308,0,42,0,38,2,413
RS,ENCRUZILHADA DO SUL,17609,9662,0,550,177,1777,607,0,16,48,3028,385,272,0,584,338,1,35,0,23,5,101
RS,ENGENHO VELHO,869,499,0,52,3,116,33,0,0,5,109,9,13,0,12,7,0,1,0,0,0,10
RS,ENTRE IJUIS,8647,4525,0,506,207,1105,269,0,2,9,1273,135,29,0,270,242,0,5,0,3,0,67
RS,ENTRE RIOS DO SUL,1764,1068,0,76,6,219,83,0,0,16,180,23,16,0,50,10,0,0,0,0,1,16
RS,EREBANGO,2237,1375,0,149,19,279,67,0,0,3,242,30,6,0,20,29,0,1,0,0,0,17
RS,ERECHIM,95210,53185,1,2689,1301,9254,4558,0,35,377,12102,4874,616,0,1859,2161,1,141,0,17,7,2032
RS,ERNESTINA,3229,1587,0,226,47,516,110,0,0,25,400,28,21,0,152,70,0,19,0,0,1,27
RS,ERVAL GRANDE,3447,1626,0,208,40,554,70,0,0,37,630,66,62,0,57,63,0,4,0,2,0,28
RS,ERVAL SECO,5229,3046,0,230,24,583,135,0,0,15,928,66,49,0,72,29,2,3,0,0,1,46
RS,ESMERALDA,2415,1445,0,145,15,437,89,0,0,6,165,0,21,0,49,18,0,1,0,0,0,24
