UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO_TRATOR,CAMINHONETE,CAMIONETA,CHASSI_PLATAFORMA,CICLOMOTOR,MICRO_ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI_REBOQUE,SIDE_CAR,OUTROS,TRATOR_ESTEIRA,TRATOR_RODAS,TRICICLO,UTILITARIO
RS,ESPERANCA DO SUL,2259,1098,0,87,10,201,68,0,1,8,673,37,25,0,21,18,0,3,0,1,0,8
RS,ESPUMOSO,15199,7852,0,987,183,2265,591,0,12,45,1984,396,102,0,339,245,1,22,0,12,5,158
RS,ESTACAO,5450,3211,0,275,92,709,180,0,1,13,445,148,38,0,117,108,0,13,0,1,2,97
RS,ESTANCIA VELHA,38614,23838,0,1211,124,2186,1877,1,40,93,5347,1084,131,0,1536,216,1,47,0,207,5,670
RS,ESTEIO,52644,34258,0,1176,515,2722,2351,2,122,142,6187,1140,189,1,2343,732,2,52,1,43,5,661
RS,ESTRELA,32356,16316,0,1442,1311,2584,1364,0,32,72,4167,1225,68,0,1356,1710,2,59,0,79,2,567
RS,ESTRELA VELHA,2767,1427,0,191,42,395,83,0,0,8,412,14,30,0,57,77,0,3,0,5,0,23
RS,EUGENIO DE CASTRO,2413,1286,0,157,35,369,58,0,0,12,307,18,20,0,97,42,0,0,0,1,0,11
RS,FAGUNDES VARELA,2378,1285,0,155,19,371,99,0,2,7,279,30,13,0,47,21,0,2,0,3,0,45
RS,FARROUPILHA,59150,36057,0,2697,834,4902,3400,0,105,291,5423,1258,343,1,1359,861,0,101,0,51,16,1451
RS,FAXINAL DO SOTURNO,5225,2834,0,219,39,772,153,0,14,5,824,73,22,0,148,42,0,2,0,11,2,65
RS,FAXINALZINHO,1465,859,0,78,16,208,40,0,0,5,183,10,11,0,24,22,0,2,0,0,0,7
RS,FAZENDA VILANOVA,3672,1947,0,190,49,294,111,0,5,14,687,77,31,0,147,72,0,6,0,14,0,28
RS,FELIZ,12392,6786,0,545,166,1204,600,0,9,29,1754,346,93,0,428,163,1,22,0,35,0,211
RS,FLORES DA CUNHA,29285,16091,0,1823,949,3263,1551,0,24,112,2259,407,184,1,791,968,0,55,0,35,0,772
RS,FLORIANO PEIXOTO,1523,812,0,99,4,222,47,0,0,11,274,7,25,0,15,3,0,0,0,0,0,4
RS,FONTOURA XAVIER,7444,4538,0,266,126,764,264,0,1,27,1071,34,68,0,69,157,0,10,0,10,0,39
RS,FORMIGUEIRO,4639,2553,0,223,37,551,92,0,6,8,834,57,26,0,161,63,0,4,0,6,0,18
RS,FORQUETINHA,2001,905,0,102,19,212,68,0,5,9,453,71,10,0,75,9,0,5,0,25,0,33
RS,FORTALEZA DOS VALOS,3911,1931,0,307,22,753,182,0,1,8,470,35,22,0,102,27,0,2,0,1,0,48
RS,FREDERICO WESTPHALEN,28337,15073,0,1041,360,2962,1239,0,5,59,4359,1533,124,0,616,398,5,27,0,5,4,527
RS,GARIBALDI,32763,17598,0,1801,1091,3233,1642,0,31,116,3103,1068,129,0,903,1160,0,35,1,40,2,810
RS,GARRUCHOS,1463,685,0,82,7,211,43,0,0,7,332,17,18,0,45,9,0,0,0,0,0,7
RS,GAURAMA,5311,2927,0,287,36,725,200,0,2,34,775,110,18,0,88,39,0,3,0,0,0,67
RS,GENERAL CAMARA,4958,2896,0,147,21,413,165,1,2,15,842,107,37,0,235,29,0,13,0,10,2,23
RS,GENTIL,1463,750,0,128,7,240,48,0,0,10,196,10,22,0,15,7,0,3,0,0,0,27
RS,GETULIO VARGAS,15207,8982,0,640,353,1582,627,1,6,53,1447,448,70,0,268,372,0,32,0,2,5,319
RS,GIRUA,13278,7501,0,749,273,1669,436,0,7,68,1510,228,57,0,321,331,0,10,0,5,1,112
RS,GLORINHA,6270,3641,0,307,78,604,212,0,7,20,803,101,18,0,300,92,0,9,3,19,0,56
RS,GRAMADO,34386,20854,0,768,89,3192,2246,1,41,138,3507,876,166,1,1158,81,5,98,0,44,16,1105
RS,GRAMADO DOS LOUREIROS,1320,819,0,60,11,174,31,0,1,5,154,9,21,0,18,11,0,1,0,0,0,5
RS,GRAMADO XAVIER,2647,1303,0,101,4,266,76,0,0,12,782,19,13,0,44,6,0,3,0,3,0,15
RS,GRAVATAI,190567,124493,0,3952,1013,10785,8156,0,243,553,25399,4485,767,2,6880,1031,3,251,3,223,29,2299
RS,GUABIJU,1259,669,0,78,26,247,44,0,0,4,97,8,11,0,23,29,0,6,0,0,0,17
RS,GUAIBA,63289,40363,0,1288,704,3914,2716,0,144,233,8640,831,373,0,2183,1080,2,69,0,145,9,595
RS,GUAPORE,21353,13761,0,609,145,2329,1053,0,17,53,1666,519,85,0,393,164,0,16,0,28,2,513
RS,GUARANI DAS MISSOES,6396,3348,0,393,193,756,242,0,1,13,886,107,46,0,165,194,1,3,0,12,0,36
RS,HARMONIA,4562,2548,0,256,37,461,131,0,4,13,680,130,7,0,177,47,0,8,0,19,0,44
RS,HERVAL,4788,2569,0,158,33,603,140,0,6,16,903,31,22,0,231,50,0,1,0,7,1,17
RS,HERVEIRAS,1701,939,0,97,0,186,47,0,0,4,381,7,2,0,22,4,0,2,0,0,1,9
RS,HORIZONTINA,18663,9783,0,474,514,1692,844,1,42,41,2793,901,71,0,540,609,1,33,0,1,1,322
RS,HULHA NEGRA,3554,1912,0,132,9,415,86,0,1,11,778,18,31,0,131,15,0,3,0,0,0,12
RS,HUMAITA,4201,2165,0,223,25,494,170,0,1,11,819,95,19,0,71,26,0,4,0,2,1,75
RS,IBARAMA,3098,1740,0,115,13,357,64,0,0,7,682,11,19,0,48,20,0,1,0,4,1,16
RS,IBIACA,4104,2095,0,331,31,810,138,0,0,17,384,62,38,0,83,32,0,14,0,4,0,65
RS,IBIRAIARAS,6888,3271,0,571,164,1282,241,0,3,20,700,33,40,0,140,260,0,16,0,3,0,144
RS,IBIRAPUITA,3288,2059,0,185,16,395,77,0,1,14,385,21,53,0,43,21,0,5,0,2,0,11
RS,IBIRUBA,20308,10712,0,1291,404,3130,994,0,8,86,1916,343,111,0,491,545,1,20,0,9,2,245
RS,IGREJINHA,28414,16436,0,766,114,1786,1205,4,111,63,4643,1619,84,0,919,134,1,42,0,26,18,443
RS,IJUI,71465,38274,0,2313,1586,7415,3025,0,57,192,10968,3244,153,0,1695,1401,1,81,1,12,3,1044
RS,ILOPOLIS,3777,2047,0,276,37,666,164,0,1,26,315,53,16,0,62,46,0,9,0,6,1,52
